PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Cabin_f,Cabin_n,Cabin_s,Name_1,Name_2,GroupId,InGroupId
3430,Europa,0.0,TRAPPIST-1e,57.0,0.0,0.0,3859.0,13.0,195.0,3874.0,0.0,C,123.0,P,Azhah,Tronsive,3699.0,4.0
669,Mars,1.0,TRAPPIST-1e,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,F,125.99999999999999,S,Roswal,Sha,699.0,1.0
8430,Europa,1.0,TRAPPIST-1e,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,B,343.0,S,Shaiam,Tinganking,9006.0,1.0
6463,Earth,0.0,TRAPPIST-1e,43.0,0.0,142.0,1208.0,0.0,0.0,203.99999999999997,0.0,F,1420.0,P,Landa,Grifford,6821.0,1.0
85,Earth,0.0,TRAPPIST-1e,19.0,0.0,0.0,0.0,670.0,1.0,34.0,0.0,G,9.0,P,Gracy,Dunnisey,92.0,1.0
7586,Earth,0.0,PSO J318.5-22,23.0,0.0,90.0,4.0,0.0,7.0,588.0,0.0,F,1553.0,S,Benda,Dickley,8111.999999999999,1.0
2358,Mars,0.0,TRAPPIST-1e,29.0,0.0,834.0,0.0,28.0,117.0,41.0,0.0,E,153.0,P,Quid,Dutte,2542.0000000000005,1.0
6887,Europa,0.0,TRAPPIST-1e,36.0,0.0,31.000000000000004,3585.0,31.0,1400.0,0.0,0.0,D,227.0,P,Suhaino,Bruthydre,7290.0,5.0
3263,Earth,0.0,TRAPPIST-1e,38.0,0.0,0.0,1025.0,23.0,0.0,0.0,1.0,F,723.0,P,Mon,Clemondsey,3499.0,3.0
2602,Earth,1.0,TRAPPIST-1e,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,450.0,P,Idave,Carverson,2789.0,1.0
7941,Earth,0.0,TRAPPIST-1e,27.0,0.0,0.0,0.0,0.0,715.9999999999999,0.0,0.0,F,1738.0,P,Heremy,Cardner,8479.0,1.0
5567,Earth,0.0,TRAPPIST-1e,20.0,0.0,149.0,25.0,559.0,21.0,33.0,1.0,E,377.0,P,Becca,Slates,5928.0,1.0
193,Earth,0.0,55 Cancri e,20.999999999999996,0.0,0.0,56.0,0.0,0.0,1918.0,0.0,F,40.0,S,Searla,Garnes,216.0,1.0
1277,Mars,0.0,TRAPPIST-1e,39.0,0.0,1535.0,0.0,340.0,0.0,722.9999999999999,0.0,F,262.0,S,Beant,Tepie,1353.0,2.0
6581,Europa,1.0,55 Cancri e,29.200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,B,263.0,S,Schird,Sophaft,6945.0,1.0
4216,Earth,1.0,TRAPPIST-1e,46.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,G,736.0,P,Ricke,Nolds,4492.0,1.0
1795,Earth,0.0,TRAPPIST-1e,46.0,0.0,8.0,652.0,0.0,5.0,90.0,0.0,G,300.0,S,Dia,Cartez,1911.0,1.0
5127,Earth,0.0,TRAPPIST-1e,49.0,0.0,1020.0,0.0,2.0,2.0,0.0,1.0,G,879.0,S,Samany,Moodsey,5476.0,1.0
5463,Earth,1.0,55 Cancri e,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,G,940.0,P,Carry,Contrevins,5824.0,1.0
3334,Earth,0.0,TRAPPIST-1e,54.99999999999999,0.0,42.0,4.0,1215.0,0.0,3.0,1.0,F,676.0,S,Gayla,Leonzaley,3584.0,1.0
5621,Europa,0.0,TRAPPIST-1e,46.0,0.0,0.0,3259.0,761.0,4423.0,0.0,0.0,B,230.0,S,Halla,Porkilte,5977.0,4.0
3011,Mars,0.0,TRAPPIST-1e,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,219.0,S,Rosts,Ses,3268.0,1.0
2869,Earth,0.0,TRAPPIST-1e,52.0,0.0,808.9999999999999,0.0,0.0,0.0,0.0,1.0,F,586.0,S,Jord,Farmonrada,3100.0,2.0
2632,Mars,0.0,TRAPPIST-1e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,F,585.0,P,Krus,Betie,2817.9999999999995,1.0
3001,Earth,0.0,TRAPPIST-1e,20.999999999999996,0.0,0.0,499.2,0.0,0.0,0.0,0.0,G,526.0,P,Rice,Baldens,3248.0,1.0
1444,Earth,0.0,55 Cancri e,23.0,0.0,4.0,223.99999999999997,2.0,254.0,521.0,0.0,F,300.0,P,Karia,Sotond,1526.0,1.0
8513,Earth,1.0,TRAPPIST-1e,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,G,1476.0,P,Aliey,Clemondsey,9081.0,7.0
4002,Mars,0.0,55 Cancri e,56.0,0.0,412.0,492.0,9.0,117.0,33.0,1.0,D,137.0,S,Vivers,Fatte,4261.0,1.0
908,Earth,0.0,TRAPPIST-1e,51.0,0.0,536.2,23.0,4.0,0.0,0.0,0.0,G,145.0,P,Joyton,Hewson,982.0,2.0
3062,Europa,1.0,TRAPPIST-1e,41.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,D,105.0,P,Ashelik,Drayfulery,3304.0,1.0
2353,Europa,1.0,55 Cancri e,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,B,75.0,P,Mahamak,Sorbitter,2534.0,2.0
7278,Mars,1.0,TRAPPIST-1e,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,F,1487.0,S,Tous,Wate,7783.0,1.0
5988,Earth,0.0,TRAPPIST-1e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,1022.0,P,Stanya,Schmondez,6339.0,1.0
3760,Mars,0.0,TRAPPIST-1e,23.0,0.0,931.0,0.0,134.0,0.0,421.0,0.0,F,761.0,S,Hog,Gene,4017.0,5.0
8371,Earth,0.0,TRAPPIST-1e,25.000000000000004,0.0,0.0,0.0,0.0,6.000000000000001,1989.0000000000002,0.0,F,1838.0,P,Mela,Bonnondry,8956.0,1.0
4103,Earth,0.0,PSO J318.5-22,43.0,0.0,0.0,168.0,2.9999999999999996,0.0,451.99999999999994,1.0,E,284.0,S,Karley,Brownson,4376.0,1.0
2496,Earth,1.0,TRAPPIST-1e,38.400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,426.0,S,Paulas,Boltond,2679.0,1.0
1684,Mars,1.0,55 Cancri e,31.0,0.0,0.0,0.0,0.0,92.4,0.0,0.0,E,107.0,P,Miten,Kniva,1785.0,1.0
2260,Earth,0.0,TRAPPIST-1e,34.0,0.0,34.0,223.0,1559.0,0.0,0.0,1.0,G,393.0,S,Hanna,Fishopper,2424.0,1.0
3755,Earth,0.0,55 Cancri e,34.0,0.0,309.0,542.0,0.0,0.0,55.0,0.0,E,268.0,S,Dorene,Mclainez,4016.0,1.0
8378,Earth,0.0,TRAPPIST-1e,26.0,0.0,0.0,0.0,0.0,0.0,741.0,0.0,F,1838.0,P,Harvin,Bonnondry,8956.0,8.0
5486,Earth,0.0,TRAPPIST-1e,64.0,0.0,0.0,623.0,1827.0,0.0,0.0,1.0,F,1209.0,P,Hanna,Horndley,5855.0,1.0
4209,Mars,0.0,TRAPPIST-1e,63.0,0.0,3087.0,0.0,60.0,2.0,0.0,0.0,D,151.0,P,Fowoos,Tepie,4483.0,2.0
6538,Europa,1.0,TRAPPIST-1e,46.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,D,217.0,P,Strali,Idalpus,6902.0,1.0
1555,Earth,1.0,PSO J318.5-22,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,266.0,P,Camina,Wonglasquez,1651.0,1.0
4501,Mars,1.0,TRAPPIST-1e,20.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,F,903.0,S,Bon,Pert,4784.0,1.0
6940,Europa,1.0,55 Cancri e,41.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C,239.0,P,Genubih,Rodwative,7361.0,2.0
2544,Earth,1.0,TRAPPIST-1e,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,G,433.0,S,Royce,Douglasen,2730.0,1.0
2761,Earth,0.0,TRAPPIST-1e,37.0,0.0,220.99999999999997,0.0,32.0,38.0,516.0,0.0,G,486.00000000000006,P,Russey,Miley,2968.9999999999995,1.0
4891,Earth,0.0,TRAPPIST-1e,25.000000000000004,0.0,10.0,0.0,908.0,5.0,0.0,1.0,F,1064.0,P,Nathy,Pottley,5213.0,1.0
